period,LSOA,SHEF_C,report_count,user_count,average
2013-9,E01002148,Road Safety & Defects,2,2,1.0
2013-9,E01002151,Road Safety & Defects,1,1,1.0
2013-9,E01002169,Environmental Health,1,1,1.0
2013-9,E01002203,Road Safety & Defects,4,1,4.0
2013-9,E01002218,Road Safety & Defects,1,1,1.0
2013-9,E01002220,Road Safety & Defects,1,1,1.0
2013-9,E01002226,Environmental Health,1,1,1.0
2013-9,E01002234,Environmental Health,1,1,1.0
2013-9,E01002236,Environmental Health,1,1,1.0
2013-9,E01002241,Environmental Health,1,1,1.0
2013-9,E01002259,Environmental Health,1,1,1.0
2013-9,E01002267,Road Safety & Defects,2,1,2.0
2013-9,E01002301,Road Safety & Defects,1,1,1.0
2013-9,E01002334,Road Safety & Defects,1,1,1.0
2013-9,E01002342,Road Safety & Defects,1,1,1.0
2013-9,E01002362,Environmental Disruptions,1,1,1.0
2013-9,E01002363,Road Safety & Defects,1,1,1.0
2013-9,E01002387,Environmental Health,1,1,1.0
2013-9,E01002406,Environmental Health,1,1,1.0
2013-9,E01002459,Abandoned Vehicles & Parking,1,1,1.0
2013-9,E01002460,Road Safety & Defects,1,1,1.0
2013-9,E01002464,Road Safety & Defects,1,1,1.0
2013-9,E01002472,Road Safety & Defects,1,1,1.0
2013-9,E01002475,Environmental Disruptions,1,1,1.0
2013-9,E01002475,Road Safety & Defects,1,1,1.0
2013-9,E01002490,Environmental Health,1,1,1.0
2013-9,E01002494,Road Safety & Defects,1,1,1.0
2013-9,E01002521,Road Safety & Defects,1,1,1.0
2013-9,E01002527,Environmental Health,1,1,1.0
2013-9,E01002531,Road Safety & Defects,1,1,1.0
2013-9,E01002533,Road Safety & Defects,1,1,1.0
2013-9,E01002566,Environmental Disruptions,1,1,1.0
2013-9,E01002566,Road Safety & Defects,1,1,1.0
2013-9,E01002571,Road Safety & Defects,1,1,1.0
2013-9,E01002575,Environmental Health,1,1,1.0
2013-9,E01002579,Road Safety & Defects,1,1,1.0
2013-9,E01002601,Environmental Health,1,1,1.0
2013-9,E01002602,Road Safety & Defects,1,1,1.0
2013-9,E01002608,Road Safety & Defects,1,1,1.0
2013-9,E01002611,Environmental Disruptions,1,1,1.0
2013-9,E01002614,Abandoned Vehicles & Parking,3,1,3.0
2013-9,E01002621,Road Safety & Defects,1,1,1.0
2013-9,E01002625,Environmental Health,2,1,2.0
2013-9,E01002632,Road Safety & Defects,1,1,1.0
2013-9,E01002634,Environmental Health,2,2,1.0
2013-9,E01002636,Road Safety & Defects,1,1,1.0
2013-9,E01002637,Road Safety & Defects,1,1,1.0
2013-9,E01002638,Road Safety & Defects,1,1,1.0
2013-9,E01002639,Environmental Health,1,1,1.0
2013-9,E01002641,Environmental Health,1,1,1.0
2013-9,E01002643,Vehicles,1,1,1.0
2013-9,E01002668,Road Safety & Defects,1,1,1.0
2013-9,E01002669,Environmental Health,1,1,1.0
2013-9,E01002670,Environmental Health,1,1,1.0
2013-9,E01002678,Road Safety & Defects,1,1,1.0
2013-9,E01002681,Environmental Health,2,1,2.0
2013-9,E01002681,Road Safety & Defects,1,1,1.0
2013-9,E01002683,Environmental Health,2,2,1.0
2013-9,E01002692,Road Safety & Defects,1,1,1.0
2013-9,E01002695,Road Safety & Defects,1,1,1.0
2013-9,E01002699,Road Safety & Defects,2,2,1.0
2013-9,E01002707,Road Safety & Defects,1,1,1.0
2013-9,E01002721,Road Safety & Defects,1,1,1.0
2013-9,E01002723,Environmental Health,1,1,1.0
2013-9,E01002726,Environmental Disruptions,1,1,1.0
2013-9,E01002734,Environmental Health,1,1,1.0
2013-9,E01002748,Environmental Health,1,1,1.0
2013-9,E01002770,Road Safety & Defects,1,1,1.0
2013-9,E01002805,Environmental Health,1,1,1.0
2013-9,E01002837,Road Safety & Defects,1,1,1.0
2013-9,E01002866,Abandoned Vehicles & Parking,1,1,1.0
2013-9,E01002866,Road Safety & Defects,4,1,4.0
2013-9,E01002877,Environmental Health,1,1,1.0
2013-9,E01002877,Road Safety & Defects,1,1,1.0
2013-9,E01002915,Environmental Disruptions,1,1,1.0
2013-9,E01002922,Environmental Disruptions,1,1,1.0
2013-9,E01002923,Road Safety & Defects,1,1,1.0
2013-9,E01002928,Road Safety & Defects,2,2,1.0
2013-9,E01002930,Road Safety & Defects,1,1,1.0
2013-9,E01002935,Road Safety & Defects,3,1,3.0
2013-9,E01002938,Road Safety & Defects,1,1,1.0
2013-9,E01002964,Road Safety & Defects,2,1,2.0
2013-9,E01002965,Environmental Health,1,1,1.0
