lsoa,SHEF_B_CODE,reports,unique_users,average_per_user
E01001749,B1,1,1,1.0
E01001750,B1,1,1,1.0
E01001752,B1,1,1,1.0
E01001754,B1,1,1,1.0
E01001757,B1,1,1,1.0
E01001758,B1,1,1,1.0
E01001759,B1,2,2,1.0
E01001761,B1,1,1,1.0
E01001762,B1,1,1,1.0
E01001765,B1,1,1,1.0
E01001768,B1,1,1,1.0
E01001770,B1,4,2,2.0
E01001776,B1,1,1,1.0
E01001777,B1,1,1,1.0
E01001779,B1,1,1,1.0
E01001782,B1,4,2,2.0
E01001789,B1,1,1,1.0
E01001793,B1,2,2,1.0
E01001796,B1,1,1,1.0
E01001798,B1,1,1,1.0
E01001799,B1,2,2,1.0
E01001800,B1,2,1,2.0
E01001803,B1,1,1,1.0
E01001807,B1,7,3,2.3333333333333335
E01001808,B1,1,1,1.0
E01001809,B1,4,3,1.3333333333333333
E01001812,B1,10,7,1.4285714285714286
E01001814,B1,3,2,1.5
E01001815,B1,1,1,1.0
E01001816,B1,1,1,1.0
E01001819,B1,1,1,1.0
E01001823,B1,5,3,1.6666666666666667
E01001824,B1,11,4,2.75
E01001825,B1,7,3,2.3333333333333335
E01001826,B1,1,1,1.0
E01001828,B1,1,1,1.0
E01001830,B1,2,2,1.0
E01001831,B1,1,1,1.0
E01001837,B1,1,1,1.0
E01001845,B1,1,1,1.0
E01001846,B1,3,2,1.5
E01001848,B1,3,2,1.5
E01001849,B1,1,1,1.0
E01001850,B1,5,2,2.5
E01002555,B1,14,8,1.75
E01002556,B1,4,3,1.3333333333333333
E01002557,B1,5,4,1.25
E01002558,B1,5,3,1.6666666666666667
E01002559,B1,1,1,1.0
E01002560,B1,4,2,2.0
E01002561,B1,2,1,2.0
E01002562,B1,2,2,1.0
E01002563,B1,2,1,2.0
E01002564,B1,2,2,1.0
E01002565,B1,14,9,1.5555555555555556
E01002566,B1,2,2,1.0
E01002567,B1,1,1,1.0
E01002570,B1,3,2,1.5
E01002571,B1,6,3,2.0
E01002572,B1,4,4,1.0
E01002573,B1,1,1,1.0
E01002574,B1,2,2,1.0
E01002575,B1,1,1,1.0
E01002576,B1,1,1,1.0
E01002577,B1,6,5,1.2
E01002578,B1,3,3,1.0
E01002579,B1,11,8,1.375
E01002580,B1,1,1,1.0
E01002581,B1,1,1,1.0
E01002582,B1,11,3,3.6666666666666665
E01002583,B1,3,2,1.5
E01002585,B1,8,3,2.6666666666666665
E01002586,B1,2,1,2.0
E01002587,B1,8,6,1.3333333333333333
E01002588,B1,2,2,1.0
E01002589,B1,1,1,1.0
E01002590,B1,5,4,1.25
E01002591,B1,8,8,1.0
E01002592,B1,21,10,2.1
E01002593,B1,13,5,2.6
E01002594,B1,1,1,1.0
E01002595,B1,4,3,1.3333333333333333
E01002596,B1,13,6,2.1666666666666665
E01002599,B1,2,2,1.0
E01002600,B1,3,2,1.5
E01002601,B1,4,4,1.0
E01002602,B1,4,3,1.3333333333333333
E01002603,B1,6,4,1.5
