period,LAD,SHEF_C,report_count,user_count,average
2009-12,E07000180,Environmental Health,3,3,1.0
2009-12,E07000180,Road Safety & Defects,12,9,1.3333333333333333
2009-12,E07000180,Vehicles,1,1,1.0
2009-12,E07000181,Environmental Health,1,1,1.0
2009-12,E07000181,Road Safety & Defects,3,3,1.0
2009-12,E07000187,Road Safety & Defects,4,4,1.0
2009-12,E07000188,Environmental Health,1,1,1.0
2009-12,E07000188,Road Safety & Defects,5,3,1.6666666666666667
2009-12,E07000189,Other,1,1,1.0
2009-12,E07000189,Road Safety & Defects,8,6,1.3333333333333333
2009-12,E07000190,Abandoned Vehicles & Parking,2,2,1.0
2009-12,E07000190,Environmental Health,1,1,1.0
2009-12,E07000190,Public Space,1,1,1.0
2009-12,E07000190,Road Safety & Defects,3,3,1.0
2009-12,E07000192,Abandoned Vehicles & Parking,1,1,1.0
2009-12,E07000192,Environmental Health,1,1,1.0
2009-12,E07000192,Other,2,2,1.0
2009-12,E07000192,Road Safety & Defects,1,1,1.0
2009-12,E07000193,Environmental Health,3,3,1.0
2009-12,E07000194,Other,4,3,1.3333333333333333
2009-12,E07000194,Vehicles,1,1,1.0
2009-12,E07000195,Environmental Health,2,2,1.0
2009-12,E07000195,Other,1,1,1.0
2009-12,E07000195,Road Safety & Defects,2,2,1.0
2009-12,E07000196,Road Safety & Defects,1,1,1.0
2009-12,E07000197,Road Safety & Defects,2,2,1.0
2009-12,E07000198,Other,1,1,1.0
2009-12,E07000199,Abandoned Vehicles & Parking,1,1,1.0
2009-12,E07000199,Environmental Health,1,1,1.0
2009-12,E07000199,Road Safety & Defects,1,1,1.0
2009-12,E07000200,Road Safety & Defects,2,1,2.0
2009-12,E07000201,Road Safety & Defects,3,2,1.5
2009-12,E07000202,Environmental Health,2,2,1.0
2009-12,E07000202,Other,1,1,1.0
2009-12,E07000202,Road Safety & Defects,11,4,2.75
2009-12,E07000203,Environmental Health,1,1,1.0
2009-12,E07000204,Road Safety & Defects,1,1,1.0
2009-12,E07000205,Environmental Health,1,1,1.0
2009-12,E07000205,Road Safety & Defects,5,2,2.5
2009-12,E07000206,Environmental Health,3,2,1.5
2009-12,E07000206,Road Safety & Defects,4,4,1.0
2009-12,E07000206,Vehicles,1,1,1.0
2009-12,E07000207,Abandoned Vehicles & Parking,1,1,1.0
2009-12,E07000207,Environmental Disruptions,1,1,1.0
2009-12,E07000207,Environmental Health,2,2,1.0
2009-12,E07000207,Road Safety & Defects,10,10,1.0
2009-12,E07000208,Incivilities,2,2,1.0
2009-12,E07000208,Road Safety & Defects,8,4,2.0
2009-12,E07000209,Environmental Disruptions,1,1,1.0
2009-12,E07000209,Environmental Health,4,1,4.0
2009-12,E07000209,Incivilities,1,1,1.0
2009-12,E07000209,Road Safety & Defects,14,8,1.75
